source,param_name,param_value,region,baseline,algorithm,diff_mean,diff_sem,diff_ci95,n
block_outliers,outlier_offset_frac,1.1,overall,standard_gp,pro_gp,-1.3426760724534812,0.13262292006460794,0.25994092332663155,10
heteroskedastic,amplitude_frac,0.8,overall,standard_gp,pro_gp,-0.29065337082952014,0.03875278696673953,0.07595546245480948,10
multimodal,mix_prob,0.5,overall,standard_gp,pro_gp,-0.32599231944005347,0.0794740295917267,0.15576909799978433,10
skewed,noise_skewness,0.6,overall,standard_gp,pro_gp,0.028359244207527452,0.05396907572568217,0.10577938842233706,10
skewed,noise_skewness,0.7,overall,standard_gp,pro_gp,0.04356963513071352,0.06032425412639845,0.11823553808774095,10
skewed,noise_skewness,3.0,overall,standard_gp,pro_gp,-0.08751136349834919,0.022701233781662906,0.044494418212059295,10
well_specified,n,50,overall,standard_gp,pro_gp,0.3044676886276211,0.09624935459734495,0.1886487350107961,10
well_specified,n,100,overall,standard_gp,pro_gp,0.15222780559832083,0.0724732826716165,0.14204763403636833,10
well_specified,n,200,overall,standard_gp,pro_gp,0.045470739229771406,0.016575435230873174,0.03248785305251142,10
well_specified,n,400,overall,standard_gp,pro_gp,0.01634774102473315,0.006281975249805456,0.012312671489618694,10
block_outliers,outlier_offset_frac,1.1,region,standard_gp,pro_gp,-13.266854749238442,0.9413568667405369,1.8450594588114522,10
heteroskedastic,amplitude_frac,0.8,region,standard_gp,pro_gp,-0.12427572543383651,0.0847208977980435,0.16605295968416525,10
multimodal,mix_prob,0.5,region,standard_gp,pro_gp,-0.4993806234144106,0.14509505118636026,0.28438630032526613,10
block_outliers,outlier_offset_frac,1.1,background,standard_gp,pro_gp,-0.06405015506855466,0.01988774596650906,0.038979982094357754,10
heteroskedastic,amplitude_frac,0.8,background,standard_gp,pro_gp,-0.4470756532661043,0.06057702778584391,0.11873097446025406,10
multimodal,mix_prob,0.5,background,standard_gp,pro_gp,-0.2418008516828932,0.0606027354837891,0.11878136154822663,10
