regime,seed,lr,total,kernel_adapt_steps,gap,init_ell,ell_star,ell_final,nlpd,sigma
block_outliers,0,0.2,150,30,4.33,0.05,0.0532,0.07637888044351247,-0.005668107624136525,0.09270942998207604
block_outliers,0,0.2,150,30,4.33,0.3,0.0532,0.17996054299027892,-0.30360599828178697,0.07166766870867966
block_outliers,0,0.2,150,30,4.33,1.0,0.0532,0.30135772559314505,-0.308992615614923,0.07111023402545097
block_outliers,0,0.2,150,30,4.33,3.0,0.0532,1.302307982547412,0.6691505440427175,0.1345655570075497
block_outliers,0,0.2,300,30,9.33,0.05,0.0532,0.08374983155864126,0.2506131929784547,0.09366529110968676
block_outliers,0,0.2,300,30,9.33,0.3,0.0532,0.18996662142511012,-0.27591051818137485,0.06717222582380175
block_outliers,0,0.2,300,30,9.33,1.0,0.0532,0.18227182667608532,-0.32738390992650246,0.07550191196069785
block_outliers,0,0.2,300,30,9.33,3.0,0.0532,0.6751100475221918,0.28904890526090987,0.1032108678055659
block_outliers,0,0.2,500,30,16.0,0.05,0.0532,0.06615877671450808,0.005383033016041789,0.09735469849191099
block_outliers,0,0.2,500,30,16.0,0.3,0.0532,0.060621868979067635,-0.07164131999041111,0.10211454394489382
block_outliers,0,0.2,500,30,16.0,1.0,0.0532,0.09295064306115486,0.06019449496819852,0.08161129787513313
block_outliers,0,0.2,500,30,16.0,3.0,0.0532,0.08895003393756955,0.07388163559153328,0.0873775223750924
block_outliers,0,0.2,300,10,28.0,0.05,0.0532,0.0634655810231637,0.028848855356876157,0.10382100386004162
block_outliers,0,0.2,300,10,28.0,0.3,0.0532,0.15716021218218845,-0.36690288924944675,0.08106894387987572
block_outliers,0,0.2,300,10,28.0,1.0,0.0532,0.24579050878159922,-0.4470503363458047,0.1028255948578897
block_outliers,0,0.2,300,10,28.0,3.0,0.0532,0.4853388918912587,0.09636747668275863,0.1103577421369054
block_outliers,0,0.2,300,60,4.67,0.05,0.0532,0.06641138928691924,0.2588114365730643,0.10173519163112757
block_outliers,0,0.2,300,60,4.67,0.3,0.0532,0.12644852018056887,-0.24034714938914684,0.07928185734822484
block_outliers,0,0.2,300,60,4.67,1.0,0.0532,0.1845025643601819,-0.29758280071681,0.06272957773951303
block_outliers,0,0.2,300,60,4.67,3.0,0.0532,1.2211527895104777,0.5969924301870172,0.11381935861268268
block_outliers,0,0.4,150,30,4.33,0.05,0.0532,0.05033373385783915,0.7580548858269672,0.10904590780509274
block_outliers,0,0.4,150,30,4.33,0.3,0.0532,0.18407719103984496,-0.33390935979467085,0.0818914329180035
block_outliers,0,0.4,150,30,4.33,1.0,0.0532,0.18147034774590382,-0.24310833534984377,0.06850389116390196
block_outliers,0,0.4,150,30,4.33,3.0,0.0532,0.4261923271931123,-0.0902268061500424,0.061383076659748466
block_outliers,0,0.4,300,30,9.33,0.05,0.0532,0.1810981603712269,-0.1721706345507238,0.09080984868862214
block_outliers,0,0.4,300,30,9.33,0.3,0.0532,0.10269775027701437,0.023377188212482688,0.08558057697347685
block_outliers,0,0.4,300,30,9.33,1.0,0.0532,0.11673014978692967,0.013558485247522043,0.09116984409743266
block_outliers,0,0.4,300,30,9.33,3.0,0.0532,0.24396091928866168,-0.2916464598273423,0.09527486993921076
block_outliers,0,0.4,500,30,16.0,0.05,0.0532,0.10871105186711315,0.019848211480067178,0.08931582499576016
block_outliers,0,0.4,500,30,16.0,0.3,0.0532,0.07058960845714889,0.05335403510845994,0.08721216554368069
block_outliers,0,0.4,500,30,16.0,1.0,0.0532,0.06906851066511516,0.7509676859492392,0.10276875621905388
block_outliers,0,0.4,500,30,16.0,3.0,0.0532,0.08972406689647713,0.09670165271951801,0.0919337694665349
block_outliers,0,0.4,300,10,28.0,0.05,0.0532,0.0568615779648816,0.10178972903557194,0.10050046923120402
block_outliers,0,0.4,300,10,28.0,0.3,0.0532,0.07550979086432727,-0.1592033853718753,0.11203267775835542
block_outliers,0,0.4,300,10,28.0,1.0,0.0532,0.05994031726128652,0.5375691216467579,0.08974936598998956
block_outliers,0,0.4,300,10,28.0,3.0,0.0532,0.09574110715348635,-0.09652330337409333,0.08377998370776325
block_outliers,0,0.4,300,60,4.67,0.05,0.0532,0.06874838901146102,0.3922195689308834,0.10219852599662994
block_outliers,0,0.4,300,60,4.67,0.3,0.0532,0.14187394343274462,-0.3381877250933498,0.09075125785620948
block_outliers,0,0.4,300,60,4.67,1.0,0.0532,0.1988731926628953,-0.31459570621153177,0.07873311416393074
block_outliers,0,0.4,300,60,4.67,3.0,0.0532,0.1660926621317903,-0.2758368303893393,0.07389806016568039
heteroskedastic,0,0.2,150,30,4.33,0.05,0.1787,0.1408874531776156,0.31334005101685014,0.19651306902599092
heteroskedastic,0,0.2,150,30,4.33,0.3,0.1787,0.2072840275772396,0.4018788145829112,0.16199936762784542
heteroskedastic,0,0.2,150,30,4.33,1.0,0.1787,0.19319461530356727,0.37844843873064676,0.16787917913405526
heteroskedastic,0,0.2,150,30,4.33,3.0,0.1787,0.21001319427157317,0.3556331028250389,0.15030355357350672
heteroskedastic,0,0.2,300,30,9.33,0.05,0.1787,0.1424325524373019,0.472940126585383,0.14863059946883794
heteroskedastic,0,0.2,300,30,9.33,0.3,0.1787,0.1436956694076812,0.34321121451317194,0.18252565660946624
heteroskedastic,0,0.2,300,30,9.33,1.0,0.1787,0.21176847051039724,0.3267535244940707,0.17162151264401432
heteroskedastic,0,0.2,300,30,9.33,3.0,0.1787,0.1691881326850402,0.3305951384882327,0.18272771276911087
heteroskedastic,0,0.2,500,30,16.0,0.05,0.1787,0.10238196729177383,0.2358434546943276,0.23014107185127058
heteroskedastic,0,0.2,500,30,16.0,0.3,0.1787,0.15661738840106898,0.31870645763672634,0.18776685774023572
heteroskedastic,0,0.2,500,30,16.0,1.0,0.1787,0.15743334358476177,0.3450615189878432,0.17504322012577267
heteroskedastic,0,0.2,500,30,16.0,3.0,0.1787,0.10870555768871973,0.31598596126494893,0.19167878569108718
heteroskedastic,0,0.2,300,10,28.0,0.05,0.1787,0.21086702091758927,0.30367825252022285,0.17964269909674363
heteroskedastic,0,0.2,300,10,28.0,0.3,0.1787,0.10828058483865532,0.2923549698654079,0.21344394260412355
heteroskedastic,0,0.2,300,10,28.0,1.0,0.1787,0.1715726749853359,0.4214149611876161,0.1657631561689945
heteroskedastic,0,0.2,300,10,28.0,3.0,0.1787,0.4910973006146565,0.26813898130372316,0.19071694208513942
heteroskedastic,0,0.2,300,60,4.67,0.05,0.1787,0.16832073256366673,0.3741932413784592,0.1781889962002123
heteroskedastic,0,0.2,300,60,4.67,0.3,0.1787,0.16285356241991109,0.3876562015870134,0.16836192494575525
heteroskedastic,0,0.2,300,60,4.67,1.0,0.1787,0.19372863039197108,0.30981715387280745,0.1857816494551604
heteroskedastic,0,0.2,300,60,4.67,3.0,0.1787,0.19364619828986024,0.3577299872085514,0.17130053242594442
heteroskedastic,0,0.4,150,30,4.33,0.05,0.1787,0.14686371785325322,0.40912722252039896,0.1590583142815521
heteroskedastic,0,0.4,150,30,4.33,0.3,0.1787,0.20170339591926467,0.3161276218089785,0.19635534066040913
heteroskedastic,0,0.4,150,30,4.33,1.0,0.1787,0.1882599498234954,0.3492987138486099,0.1746483630817211
heteroskedastic,0,0.4,150,30,4.33,3.0,0.1787,0.1840166813928937,0.36248468809200224,0.1758200820551201
heteroskedastic,0,0.4,300,30,9.33,0.05,0.1787,0.16032377516964622,0.3908304194021359,0.1697524535215395
heteroskedastic,0,0.4,300,30,9.33,0.3,0.1787,0.16648724237201235,0.4428027008132218,0.15422171287165085
heteroskedastic,0,0.4,300,30,9.33,1.0,0.1787,0.1250462178627163,0.3344798500696947,0.17968693598510155
heteroskedastic,0,0.4,300,30,9.33,3.0,0.1787,0.19032428810289304,0.6249952089967444,0.13275099473905
heteroskedastic,0,0.4,500,30,16.0,0.05,0.1787,0.1762909270767061,0.3579208798580244,0.1704337456420918
heteroskedastic,0,0.4,500,30,16.0,0.3,0.1787,0.09730109591270175,0.1995154889305267,0.21386110096799657
heteroskedastic,0,0.4,500,30,16.0,1.0,0.1787,0.1308645762822795,0.3856333017589825,0.16883113456035834
heteroskedastic,0,0.4,500,30,16.0,3.0,0.1787,0.24792864225268982,0.4935112571934163,0.12538070929134737
heteroskedastic,0,0.4,300,10,28.0,0.05,0.1787,0.17736491758955553,0.40917609063439164,0.16198362319773804
heteroskedastic,0,0.4,300,10,28.0,0.3,0.1787,0.2683550573540599,0.17300176990865598,0.15079731383985434
heteroskedastic,0,0.4,300,10,28.0,1.0,0.1787,0.10777052451026213,0.30669130877515643,0.17645159929197315
heteroskedastic,0,0.4,300,10,28.0,3.0,0.1787,0.0943031258820287,0.29566310306457233,0.17236306509124957
heteroskedastic,0,0.4,300,60,4.67,0.05,0.1787,0.15494135362008196,0.39259198831293934,0.16247883495074447
heteroskedastic,0,0.4,300,60,4.67,0.3,0.1787,0.15900740220368642,0.45860033323665345,0.1483702870908831
heteroskedastic,0,0.4,300,60,4.67,1.0,0.1787,0.13446531369533396,0.36193749283951787,0.1711459003175298
heteroskedastic,0,0.4,300,60,4.67,3.0,0.1787,0.1522265079823249,0.4110524323180988,0.15753733758415042
multimodal,0,0.2,150,30,4.33,0.05,0.1227,0.11203519001234512,-0.11176632952022544,0.10305469065180137
multimodal,0,0.2,150,30,4.33,0.3,0.1227,0.21124028648950227,-0.15830853581831786,0.09675174941562747
multimodal,0,0.2,150,30,4.33,1.0,0.1227,0.2653455292813699,-0.0707064927051281,0.08989341531273917
multimodal,0,0.2,150,30,4.33,3.0,0.1227,0.6128632492612742,0.36275026832948354,0.13277115842493395
multimodal,0,0.2,300,30,9.33,0.05,0.1227,0.10560360069295492,-0.14222958792375162,0.09965048763943646
multimodal,0,0.2,300,30,9.33,0.3,0.1227,0.19916503553078774,-0.17198495326903754,0.10081702730222364
multimodal,0,0.2,300,30,9.33,1.0,0.1227,0.16207035640026105,-0.15599479233393204,0.10530403284916806
multimodal,0,0.2,300,30,9.33,3.0,0.1227,0.12609149045842036,-0.12780412176895825,0.10628101289406355
multimodal,0,0.2,500,30,16.0,0.05,0.1227,0.1473019520636362,-0.16488656090543266,0.10598117118975182
multimodal,0,0.2,500,30,16.0,0.3,0.1227,0.17958006486840813,-0.1754565459596921,0.10360056924979473
multimodal,0,0.2,500,30,16.0,1.0,0.1227,0.08021612512010412,0.5640434384300066,0.10951525115533708
multimodal,0,0.2,500,30,16.0,3.0,0.1227,0.1255573901730463,-0.09109582520815095,0.11030408685642418
multimodal,0,0.2,300,10,28.0,0.05,0.1227,0.14841359879061786,-0.14736150213767577,0.10317078880687433
multimodal,0,0.2,300,10,28.0,0.3,0.1227,0.12192668178181576,-0.13423631227339208,0.10504065046770594
multimodal,0,0.2,300,10,28.0,1.0,0.1227,0.23765508663533544,-0.10941831608791612,0.09924924893593942
multimodal,0,0.2,300,10,28.0,3.0,0.1227,0.48129286937225896,0.24872799251354985,0.11174229930480548
multimodal,0,0.2,300,60,4.67,0.05,0.1227,0.18333262493922337,-0.16749091422723475,0.10048891261849836
multimodal,0,0.2,300,60,4.67,0.3,0.1227,0.16516992899036892,-0.15906039644776968,0.10094375141109077
multimodal,0,0.2,300,60,4.67,1.0,0.1227,0.17771262118491302,-0.14855438204070112,0.10303955159885421
multimodal,0,0.2,300,60,4.67,3.0,0.1227,0.1817210263232702,-0.1546039487545259,0.10419295606578104
multimodal,0,0.4,150,30,4.33,0.05,0.1227,0.15053396739310412,-0.16073670431038248,0.10035125170901704
multimodal,0,0.4,150,30,4.33,0.3,0.1227,0.21428300512523374,-0.15986374336686537,0.09467402088628542
multimodal,0,0.4,150,30,4.33,1.0,0.1227,0.26920938386574716,-0.14008448200905008,0.11641069422678682
multimodal,0,0.4,150,30,4.33,3.0,0.1227,0.534065224386127,0.2308271953590766,0.12005208848276051
multimodal,0,0.4,300,30,9.33,0.05,0.1227,0.1154557453769652,-0.1596371075189686,0.10347614339570081
multimodal,0,0.4,300,30,9.33,0.3,0.1227,0.14362186373835656,-0.15564518753454526,0.10597877575292251
multimodal,0,0.4,300,30,9.33,1.0,0.1227,0.2186190003410972,-0.15408316576756953,0.10463734140233481
multimodal,0,0.4,300,30,9.33,3.0,0.1227,0.1554103810282754,-0.10089034972831744,0.09098342302722444
multimodal,0,0.4,500,30,16.0,0.05,0.1227,0.08407729935087535,0.036288846977990646,0.10299210645175029
multimodal,0,0.4,500,30,16.0,0.3,0.1227,0.2091226872725856,-0.17632490973578327,0.09597915413140523
multimodal,0,0.4,500,30,16.0,1.0,0.1227,0.17234713783122133,-0.13101612002672622,0.09423846102582886
multimodal,0,0.4,500,30,16.0,3.0,0.1227,0.25482262410534334,-0.1692596863315585,0.09986262031085597
multimodal,0,0.4,300,10,28.0,0.05,0.1227,0.16928978514419782,-0.16196634994614587,0.10250177041811372
multimodal,0,0.4,300,10,28.0,0.3,0.1227,0.09829224499519931,-0.01925029753851146,0.10440012438053312
multimodal,0,0.4,300,10,28.0,1.0,0.1227,0.15515425932592605,-0.15044186928049716,0.10111460290978894
multimodal,0,0.4,300,10,28.0,3.0,0.1227,0.2210420541728014,-0.08101117960438362,0.11204790208172791
multimodal,0,0.4,300,60,4.67,0.05,0.1227,0.1652040523852778,-0.1616753778249428,0.10555289220140072
multimodal,0,0.4,300,60,4.67,0.3,0.1227,0.1656932184961585,-0.14995687252040052,0.09865421836019615
multimodal,0,0.4,300,60,4.67,1.0,0.1227,0.16174450003427296,-0.17173980463109045,0.10324526939835595
multimodal,0,0.4,300,60,4.67,3.0,0.1227,0.17747422416160866,-0.11339310506358015,0.10463005471149936
well_specified,0,0.2,150,30,4.33,0.05,0.1909,0.1912002064285582,-0.44982842337030127,0.13338066909081225
well_specified,0,0.2,150,30,4.33,0.3,0.1909,0.22452921129746192,-0.4491900282526425,0.1381272335627129
well_specified,0,0.2,150,30,4.33,1.0,0.1909,0.2266478505228184,-0.4483900116718827,0.14455437732465012
well_specified,0,0.2,150,30,4.33,3.0,0.1909,0.15274901283249234,-0.44033475638903824,0.1370384654804462
well_specified,0,0.2,300,30,9.33,0.05,0.1909,0.16904878647281227,-0.4521607290677188,0.13944722116408395
well_specified,0,0.2,300,30,9.33,0.3,0.1909,0.1625433962348977,-0.4508228443732362,0.13825207854391358
well_specified,0,0.2,300,30,9.33,1.0,0.1909,0.24638448298933574,-0.4455057757841976,0.1464259885619865
well_specified,0,0.2,300,30,9.33,3.0,0.1909,0.13521176660931322,-0.4361080838529026,0.142214359253431
well_specified,0,0.2,500,30,16.0,0.05,0.1909,0.16668888578259808,-0.4481666868092067,0.13437647891947327
well_specified,0,0.2,500,30,16.0,0.3,0.1909,0.20134979722110763,-0.449516766996883,0.14043827952787555
well_specified,0,0.2,500,30,16.0,1.0,0.1909,0.17203990978099357,-0.4451994603363456,0.13479488216732102
well_specified,0,0.2,500,30,16.0,3.0,0.1909,0.1021850091904245,-0.4213402817503128,0.14280052723085263
well_specified,0,0.2,300,10,28.0,0.05,0.1909,0.23950245967641942,-0.4382943508249725,0.14216287594938518
well_specified,0,0.2,300,10,28.0,0.3,0.1909,0.19252750839142754,-0.44798176292097214,0.13705662380784225
well_specified,0,0.2,300,10,28.0,1.0,0.1909,0.20198042350040754,-0.4464805040933836,0.1500488218918144
well_specified,0,0.2,300,10,28.0,3.0,0.1909,0.44670115701520036,-0.11078463170484819,0.11798200388847471
well_specified,0,0.2,300,60,4.67,0.05,0.1909,0.22843719451911507,-0.4410689351302944,0.14517284391234497
well_specified,0,0.2,300,60,4.67,0.3,0.1909,0.21749700842258643,-0.4437146791396304,0.14040489654753543
well_specified,0,0.2,300,60,4.67,1.0,0.1909,0.24752888434863127,-0.42947598675871607,0.14505614409984358
well_specified,0,0.2,300,60,4.67,3.0,0.1909,0.19776473974999276,-0.4489018727352737,0.14565801264769093
well_specified,0,0.4,150,30,4.33,0.05,0.1909,0.18778866118717188,-0.44989390096250514,0.14304161320793868
well_specified,0,0.4,150,30,4.33,0.3,0.1909,0.2546340789949428,-0.44307581619457936,0.14303008260459954
well_specified,0,0.4,150,30,4.33,1.0,0.1909,0.21306846620145423,-0.44847566482787954,0.14175705757094056
well_specified,0,0.4,150,30,4.33,3.0,0.1909,0.23659440372663115,-0.44819570034010703,0.14468323798370908
well_specified,0,0.4,300,30,9.33,0.05,0.1909,0.15267686978125747,-0.44956604857114746,0.1395408146971739
well_specified,0,0.4,300,30,9.33,0.3,0.1909,0.1405837780355638,-0.4472912640058337,0.140019328397979
well_specified,0,0.4,300,30,9.33,1.0,0.1909,0.16482407556644596,-0.4467434711992527,0.1393101527786305
well_specified,0,0.4,300,30,9.33,3.0,0.1909,0.1623838774920582,-0.44365065863142794,0.14202198804250213
well_specified,0,0.4,500,30,16.0,0.05,0.1909,0.15195904207053929,-0.44375731290619563,0.1328650575468676
well_specified,0,0.4,500,30,16.0,0.3,0.1909,0.230713524586139,-0.44844961028496627,0.1452110529591831
well_specified,0,0.4,500,30,16.0,1.0,0.1909,0.2357070052944001,-0.446412061276024,0.1488296907187931
well_specified,0,0.4,500,30,16.0,3.0,0.1909,0.26048735487374336,-0.44329294682477927,0.14118805684649577
well_specified,0,0.4,300,10,28.0,0.05,0.1909,0.23022498281415618,-0.4459474123451166,0.13987090948373535
well_specified,0,0.4,300,10,28.0,0.3,0.1909,0.2526508129580331,-0.44463383840691734,0.14587722367241032
well_specified,0,0.4,300,10,28.0,1.0,0.1909,0.1536583500478761,-0.44106498898000274,0.13962356632819067
