dataset,split,residuals,n,std,skew,excess_kurtosis,shapiro_p,ks_p,jarque_bera_p,frac_beyond_2sigma,target_modal_fraction
machine,1,whitened,168,1.0304,-0.2481,0.4134,7.248e-01,9.081e-01,2.323e-01,0.0476,0.0357
machine,1,loo,168,1.0001,-0.2224,0.7137,3.104e-01,7.796e-01,8.412e-02,0.0357,0.0357
machine,1,test,41,0.9463,0.0288,-0.3328,7.095e-01,2.084e-01,9.072e-01,0.0488,0.0357
machine,2,whitened,167,1.0369,-0.2294,0.8504,2.205e-01,6.082e-01,3.884e-02,0.0659,0.0359
machine,2,loo,167,0.9918,-0.1873,1.1323,4.241e-02,2.416e-01,7.090e-03,0.0419,0.0359
machine,2,test,42,1.0256,0.1242,-0.2193,7.706e-01,6.974e-02,9.084e-01,0.0476,0.0359
machine,3,whitened,167,1.0254,-0.4336,0.4275,8.292e-02,6.475e-01,3.868e-02,0.0419,0.0299
machine,3,loo,167,1.003,-0.15,0.7265,3.960e-01,5.552e-01,1.165e-01,0.0419,0.0299
machine,3,test,42,1.1236,-0.2135,0.3568,8.823e-01,3.443e-01,7.627e-01,0.0952,0.0299
machine,4,whitened,167,1.0326,-0.1988,0.3224,7.453e-01,9.756e-01,4.019e-01,0.0419,0.0359
machine,4,loo,167,1.0,-0.272,0.3601,5.606e-01,6.923e-01,2.275e-01,0.0419,0.0359
machine,4,test,42,0.9078,0.011,1.9275,2.095e-01,5.491e-01,3.872e-02,0.0476,0.0359
machine,5,whitened,167,1.0354,-0.1712,0.2462,3.715e-01,4.503e-01,5.386e-01,0.0898,0.0419
machine,5,loo,167,1.0066,-0.0668,0.3217,5.156e-01,4.933e-01,6.556e-01,0.0479,0.0419
machine,5,test,42,1.0229,-1.1504,2.0901,8.573e-03,4.701e-03,2.129e-04,0.0238,0.0419
forest,1,whitened,414,0.9108,0.9791,1.4919,1.267e-20,9.527e-19,1.997e-23,0.0338,0.471
forest,1,loo,414,0.9385,1.0488,2.2676,6.790e-20,8.265e-17,1.819e-36,0.0362,0.471
forest,1,test,103,0.8546,1.1308,0.925,2.315e-09,7.277e-05,2.729e-06,0.0291,0.471
forest,2,whitened,413,0.9381,1.1854,1.014,7.473e-21,3.457e-21,1.424e-25,0.0412,0.4794
forest,2,loo,413,0.9526,1.1172,0.9634,3.597e-20,1.610e-19,7.502e-23,0.046,0.4794
forest,2,test,104,0.8392,0.9731,0.2524,2.199e-09,3.038e-05,2.376e-04,0.0192,0.4794
forest,3,whitened,413,0.9441,1.1638,0.8226,2.041e-21,1.802e-22,1.687e-23,0.0436,0.4818
forest,3,loo,413,0.9534,1.0747,0.8778,1.269e-20,3.583e-21,7.214e-21,0.046,0.4818
forest,3,test,104,0.9944,1.2255,1.4352,9.301e-10,7.251e-06,2.562e-08,0.0481,0.4818
forest,4,whitened,413,0.9408,1.1779,1.0785,1.026e-20,3.321e-18,8.226e-26,0.0436,0.4673
forest,4,loo,413,0.953,1.1271,1.2239,8.600e-20,2.699e-16,2.599e-25,0.046,0.4673
forest,4,test,104,1.1003,-0.3053,4.9011,3.495e-09,3.697e-05,1.113e-23,0.0481,0.4673
forest,5,whitened,415,0.944,1.1829,1.0576,2.211e-21,8.571e-24,6.066e-26,0.0458,0.4892
forest,5,loo,415,0.9562,1.1811,0.9772,2.366e-21,1.857e-22,2.898e-25,0.0482,0.4892
forest,5,test,102,1.0655,1.0397,0.576,7.652e-09,5.345e-05,5.052e-05,0.0686,0.4892
stock,1,whitened,429,1.0262,0.0351,0.6561,1.106e-02,2.561e-02,2.042e-02,0.0513,0.0023
stock,1,loo,429,1.0082,0.2282,1.0208,2.058e-03,3.312e-01,1.402e-05,0.0536,0.0023
stock,1,test,107,1.0326,0.1441,-0.1182,6.388e-01,9.279e-01,8.055e-01,0.0935,0.0023
stock,2,whitened,428,1.0313,0.1019,0.4247,4.246e-02,1.669e-01,1.383e-01,0.0654,0.0047
stock,2,loo,428,1.0073,0.2631,0.9105,1.031e-03,1.515e-01,5.223e-05,0.0584,0.0047
stock,2,test,108,0.9293,0.0641,-0.2072,9.971e-01,8.841e-01,8.750e-01,0.0278,0.0047
stock,3,whitened,428,1.0332,-0.0741,0.0526,2.866e-01,4.174e-01,8.021e-01,0.0561,0.0047
stock,3,loo,428,1.0085,-0.0462,0.473,3.176e-01,8.549e-01,1.260e-01,0.0491,0.0047
stock,3,test,108,1.1273,0.6897,1.7176,3.340e-04,3.823e-01,1.811e-05,0.0741,0.0047
stock,4,whitened,429,1.0319,0.0895,0.4462,1.915e-01,5.126e-01,1.268e-01,0.0513,0.0023
stock,4,loo,429,1.0071,0.0913,0.6919,9.883e-02,5.571e-01,1.028e-02,0.049,0.0023
stock,4,test,107,1.0701,0.4835,1.0243,1.318e-01,5.487e-01,1.199e-02,0.0374,0.0023
stock,5,whitened,430,1.0183,0.2033,1.1093,5.514e-04,6.067e-03,3.708e-06,0.0488,0.0047
stock,5,loo,430,1.0038,0.3502,1.0002,5.477e-04,1.190e-01,1.583e-06,0.0535,0.0047
stock,5,test,106,1.1515,-0.4595,1.187,2.698e-02,2.028e-01,6.897e-03,0.0849,0.0047
