dataset,exact_gp_nlpd_mean,exact_gp_nlpd_std,exact_gp_crps_mean,exact_gp_crps_std,exact_gp_sigma_mean,exact_gp_sigma_std,inducing_pro_gp_nlpd_mean,inducing_pro_gp_nlpd_std,inducing_pro_gp_crps_mean,inducing_pro_gp_crps_std,inducing_pro_gp_sigma_mean,inducing_pro_gp_sigma_std,inducing_pro_gp_cv_nlpd_mean,inducing_pro_gp_cv_nlpd_std,inducing_pro_gp_cv_crps_mean,inducing_pro_gp_cv_crps_std,inducing_pro_gp_cv_sigma_mean,inducing_pro_gp_cv_sigma_std,pro_gp_nlpd_mean,pro_gp_nlpd_std,pro_gp_crps_mean,pro_gp_crps_std,pro_gp_sigma_mean,pro_gp_sigma_std,pro_gp_cv_nlpd_mean,pro_gp_cv_nlpd_std,pro_gp_cv_crps_mean,pro_gp_cv_crps_std,pro_gp_cv_sigma_mean,pro_gp_cv_sigma_std,vgp_nlpd_mean,vgp_nlpd_std,vgp_crps_mean,vgp_crps_std,vgp_sigma_mean,vgp_sigma_std,vgp_noncollapsed_nlpd_mean,vgp_noncollapsed_nlpd_std,vgp_noncollapsed_crps_mean,vgp_noncollapsed_crps_std,vgp_noncollapsed_sigma_mean,vgp_noncollapsed_sigma_std
airfoil,,,,,,,0.059055825232953496,0.14354094782994575,0.15993726883328796,0.028991277852741793,0.10490310729272209,0.0002210715267460419,0.18146919958010654,0.1281870645647957,0.1797416735724597,0.025840242071769437,0.15262532577086999,0.009359921056031789,,,,,,,,,,,,,0.4689863973559773,0.10674988808635297,0.19772975367824994,0.022837844455207854,0.4326607003743465,0.003093081507101026,0.41964600500113924,0.14103077148369547,0.19336640399602584,0.022998134567692646,0.3095087823088595,0.002777406014265033
autompg,0.2707724647984784,0.10026576463087716,0.17146496169509656,0.0144302855830923,0.3020405191869328,0.003859014009954827,,,,,,,,,,,,,0.3954793480464235,0.421488302879389,0.21725597806276026,0.08992640226134475,0.18147653441545078,0.0703836706490595,0.6819373350834451,0.4201130761495088,0.24474527302870036,0.04686372179919654,0.06577713524063925,0.008674353605584103,,,,,,,,,,,,
concrete,0.04379666857742627,0.055520570158794226,0.13870824961945177,0.007597919613954477,,,0.07778071769297486,0.054113414031210665,0.16687487610730695,0.008047898212789293,,,,,,,,,0.06277715950505651,0.052468844146568334,0.16544149636885006,0.01045579541120864,,,,,,,,,0.07220977715148648,0.044201461760945894,0.14347951568126935,0.006555558587125533,,,,,,,,
energy,-1.8048943899912673,0.13597497556630028,0.02159917025004179,0.002406890327841985,,,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,,-1.6153117727441644,0.14685273707109137,0.025812865029334924,0.0029992251137236515,,,,,,,,
fertility,1.6151573333925313,0.5082008186424858,0.6333597227881393,0.21318255677367026,0.6909316082852964,0.06432187891180144,,,,,,,,,,,,,1.4348481669301147,0.3156746675373439,0.552988068146597,0.1483207429290352,0.21539491666692417,0.155983307480798,1.5577480369096046,0.3402964437415769,0.5742656064774325,0.13235270527429846,0.2101993159664147,0.06349604901804823,,,,,,,,,,,,
forest,1.47417486298328,0.1044685391454628,0.5813464581017191,0.06436662204824149,0.6907213610360807,0.0054135652184207515,,,,,,,,,,,,,1.4426259284978598,0.05599163678101763,0.5495800441516597,0.041806606762794865,0.19999999999999998,0.0,1.3722368935353138,0.04590145205817014,0.5314912436367604,0.02400944137499901,0.4226102393383185,0.03331325120831732,,,,,,,,,,,,
housing,0.25997750076401216,0.30749773645464246,0.16193275939818885,0.01862321493260916,0.1831614772530609,0.012886291077111176,,,,,,,,,,,,,0.1944046305138713,0.05406725767646121,0.18605338440557334,0.026970813462433463,0.1004901542331751,8.284085348870003e-05,0.2681393682881645,0.2988301248965396,0.18148009103698703,0.029401660721311413,0.13693584108227008,0.015439815607400606,,,,,,,,,,,,
machine,0.5900787540563295,0.118614860511672,0.2502876166887481,0.028958585827923943,0.3486628390192529,0.012790961742755562,,,,,,,,,,,,,,,,,,,0.6322880007025651,0.16436618184109703,0.27179858743998586,0.05290401845043682,0.27941163463227425,0.029836856370831378,,,,,,,,,,,,
pol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018254957367605983,0.010046556441304871,0.11273065827739352,0.0020359277335654726,0.3244306478254324,0.0017281453716030998,,,,,,
servo,0.19558462841717775,0.15211673406096501,0.15337862349209536,0.023890835242181146,0.2280803304757839,0.015050260128939064,0.03264495802571273,0.20008621645263347,0.15612374740795654,0.03341919876474969,,,0.6136130344732466,0.20129510711030063,0.3180561744057,0.07606955929070087,0.13379633479717723,0.0347595092748491,0.13203423613667223,0.1888398544743914,0.19187254885227964,0.03258203839601749,0.1,0.0,0.10285509025753657,0.19904246766881784,0.17886650036482193,0.037263069039557464,0.10729574615625528,0.011503178673597533,0.2467517116351221,0.22467187652554937,0.16348645684272178,0.03914322427460492,0.3471622821013811,0.014052405717400195,,,,,,
